cohort_month,transaction_month,investor_id
2024-01,2024-01,1577
2024-01,2024-02,540
2024-01,2024-03,567
2024-01,2024-04,541
2024-01,2024-05,550
2024-01,2024-06,565
2024-01,2024-07,546
2024-01,2024-08,548
2024-01,2024-09,523
2024-01,2024-10,566
2024-01,2024-11,544
2024-01,2024-12,551
2024-01,2025-01,572
2024-01,2025-02,518
2024-01,2025-03,537
2024-01,2025-04,545
2024-01,2025-05,586
2024-02,2024-02,990
2024-02,2024-03,356
2024-02,2024-04,367
2024-02,2024-05,352
2024-02,2024-06,352
2024-02,2024-07,350
2024-02,2024-08,375
2024-02,2024-09,342
2024-02,2024-10,315
2024-02,2024-11,348
2024-02,2024-12,348
2024-02,2025-01,354
2024-02,2025-02,316
2024-02,2025-03,347
2024-02,2025-04,319
2024-02,2025-05,324
2024-03,2024-03,669
2024-03,2024-04,209
2024-03,2024-05,235
2024-03,2024-06,248
2024-03,2024-07,213
2024-03,2024-08,209
2024-03,2024-09,209
2024-03,2024-10,213
2024-03,2024-11,205
2024-03,2024-12,215
2024-03,2025-01,232
2024-03,2025-02,184
2024-03,2025-03,226
2024-03,2025-04,231
2024-03,2025-05,209
2024-04,2024-04,441
2024-04,2024-05,120
2024-04,2024-06,137
2024-04,2024-07,139
2024-04,2024-08,128
2024-04,2024-09,139
2024-04,2024-10,150
2024-04,2024-11,128
2024-04,2024-12,132
2024-04,2025-01,140
2024-04,2025-02,129
2024-04,2025-03,137
2024-04,2025-04,135
2024-04,2025-05,140
2024-05,2024-05,294
2024-05,2024-06,77
2024-05,2024-07,105
2024-05,2024-08,88
2024-05,2024-09,76
2024-05,2024-10,78
2024-05,2024-11,80
2024-05,2024-12,102
2024-05,2025-01,89
2024-05,2025-02,75
2024-05,2025-03,89
2024-05,2025-04,80
2024-05,2025-05,85
2024-06,2024-06,236
2024-06,2024-07,61
2024-06,2024-08,73
2024-06,2024-09,50
2024-06,2024-10,79
2024-06,2024-11,60
2024-06,2024-12,59
2024-06,2025-01,74
2024-06,2025-02,59
2024-06,2025-03,70
2024-06,2025-04,68
2024-06,2025-05,54
2024-07,2024-07,175
2024-07,2024-08,45
2024-07,2024-09,40
2024-07,2024-10,41
2024-07,2024-11,43
2024-07,2024-12,36
2024-07,2025-01,40
2024-07,2025-02,36
2024-07,2025-03,41
2024-07,2025-04,38
2024-07,2025-05,37
2024-08,2024-08,135
2024-08,2024-09,24
2024-08,2024-10,32
2024-08,2024-11,30
2024-08,2024-12,31
2024-08,2025-01,29
2024-08,2025-02,34
2024-08,2025-03,34
2024-08,2025-04,23
2024-08,2025-05,37
2024-09,2024-09,100
2024-09,2024-10,17
2024-09,2024-11,19
2024-09,2024-12,22
2024-09,2025-01,21
2024-09,2025-02,20
2024-09,2025-03,13
2024-09,2025-04,19
2024-09,2025-05,19
2024-10,2024-10,75
2024-10,2024-11,19
2024-10,2024-12,24
2024-10,2025-01,11
2024-10,2025-02,19
2024-10,2025-03,16
2024-10,2025-04,11
2024-10,2025-05,10
2024-11,2024-11,55
2024-11,2024-12,13
2024-11,2025-01,12
2024-11,2025-02,9
2024-11,2025-03,4
2024-11,2025-04,5
2024-11,2025-05,10
2024-12,2024-12,56
2024-12,2025-01,10
2024-12,2025-02,7
2024-12,2025-03,9
2024-12,2025-04,5
2024-12,2025-05,12
2025-01,2025-01,40
2025-01,2025-02,6
2025-01,2025-03,6
2025-01,2025-04,3
2025-01,2025-05,7
2025-02,2025-02,49
2025-02,2025-03,8
2025-02,2025-04,5
2025-02,2025-05,5
2025-03,2025-03,48
2025-03,2025-04,9
2025-03,2025-05,8
2025-04,2025-04,29
2025-04,2025-05,2
2025-05,2025-05,31
