investor_id,sip_count,continuity_status
INV000001,2,Inactive
INV000002,3,Active
INV000003,2,Inactive
INV000004,6,Active
INV000005,3,Active
INV000006,5,Active
INV000007,5,Active
INV000008,6,Active
INV000009,4,Active
INV000010,6,Active
INV000011,7,Active
INV000012,8,Active
INV000013,7,Active
INV000014,7,Active
INV000015,1,Inactive
INV000016,1,Inactive
INV000017,1,Inactive
INV000018,2,Inactive
INV000019,3,Active
INV000020,2,Inactive
INV000021,3,Active
INV000022,2,Inactive
INV000023,8,Active
INV000024,5,Active
INV000025,1,Inactive
INV000026,4,Active
INV000027,2,Inactive
INV000028,6,Active
INV000029,7,Active
INV000030,9,Active
INV000031,3,Active
INV000032,4,Active
INV000033,8,Active
INV000034,1,Inactive
INV000035,2,Inactive
INV000036,2,Inactive
INV000037,2,Inactive
INV000038,4,Active
INV000039,6,Active
INV000040,5,Active
INV000041,1,Inactive
INV000042,4,Active
INV000043,1,Inactive
INV000044,2,Inactive
INV000045,6,Active
INV000046,4,Active
INV000047,2,Inactive
INV000048,9,Active
INV000049,3,Active
INV000050,2,Inactive
INV000051,3,Active
INV000052,6,Active
INV000053,2,Inactive
INV000054,5,Active
INV000055,5,Active
INV000056,6,Active
INV000057,8,Active
INV000058,5,Active
INV000059,1,Inactive
INV000060,2,Inactive
INV000061,3,Active
INV000062,5,Active
INV000063,3,Active
INV000065,4,Active
INV000066,2,Inactive
INV000067,1,Inactive
INV000069,10,Active
INV000070,3,Active
INV000071,4,Active
INV000072,6,Active
INV000073,9,Active
INV000074,8,Active
INV000075,6,Active
INV000076,6,Active
INV000078,1,Inactive
INV000079,6,Active
INV000080,4,Active
INV000081,7,Active
INV000082,7,Active
INV000083,1,Inactive
INV000084,4,Active
INV000085,5,Active
INV000086,10,Active
INV000087,6,Active
INV000088,2,Inactive
INV000089,4,Active
INV000090,3,Active
INV000091,8,Active
INV000092,3,Active
INV000093,7,Active
INV000094,6,Active
INV000095,6,Active
INV000096,2,Inactive
INV000097,7,Active
INV000098,5,Active
INV000099,5,Active
INV000100,3,Active
INV000101,8,Active
INV000102,8,Active
INV000103,6,Active
INV000104,5,Active
INV000105,8,Active
INV000106,2,Inactive
INV000107,3,Active
INV000108,3,Active
INV000109,9,Active
INV000110,3,Active
INV000111,1,Inactive
INV000112,3,Active
INV000113,8,Active
INV000114,1,Inactive
INV000115,4,Active
INV000116,3,Active
INV000117,4,Active
INV000118,5,Active
INV000119,2,Inactive
INV000120,3,Active
INV000121,2,Inactive
INV000122,1,Inactive
INV000123,7,Active
INV000124,4,Active
INV000125,5,Active
INV000126,1,Inactive
INV000127,1,Inactive
INV000128,6,Active
INV000129,5,Active
INV000130,2,Inactive
INV000131,7,Active
INV000132,6,Active
INV000133,6,Active
INV000134,3,Active
INV000135,3,Active
INV000136,1,Inactive
INV000137,4,Active
INV000138,6,Active
INV000139,1,Inactive
INV000140,2,Inactive
INV000141,1,Inactive
INV000143,4,Active
INV000144,3,Active
INV000145,6,Active
INV000146,6,Active
INV000147,4,Active
INV000148,9,Active
INV000150,5,Active
INV000151,3,Active
INV000152,1,Inactive
INV000153,4,Active
INV000154,5,Active
INV000155,7,Active
INV000156,4,Active
INV000158,5,Active
INV000159,3,Active
INV000160,3,Active
INV000161,7,Active
INV000162,2,Inactive
INV000163,8,Active
INV000164,6,Active
INV000165,4,Active
INV000166,4,Active
INV000167,5,Active
INV000168,1,Inactive
INV000169,7,Active
INV000170,2,Inactive
INV000171,2,Inactive
INV000172,4,Active
INV000173,7,Active
INV000174,5,Active
INV000175,7,Active
INV000176,3,Active
INV000177,8,Active
INV000178,2,Inactive
INV000179,5,Active
INV000180,6,Active
INV000181,3,Active
INV000182,5,Active
INV000183,9,Active
INV000184,1,Inactive
INV000185,2,Inactive
INV000189,3,Active
INV000190,5,Active
INV000191,7,Active
INV000192,5,Active
INV000193,4,Active
INV000194,7,Active
INV000195,6,Active
INV000196,7,Active
INV000197,1,Inactive
INV000198,1,Inactive
INV000199,4,Active
INV000200,4,Active
INV000201,9,Active
INV000202,2,Inactive
INV000203,5,Active
INV000204,2,Inactive
INV000205,8,Active
INV000206,1,Inactive
INV000207,5,Active
INV000208,1,Inactive
INV000209,1,Inactive
INV000210,8,Active
INV000211,5,Active
INV000212,1,Inactive
INV000213,4,Active
INV000214,6,Active
INV000215,5,Active
INV000216,4,Active
INV000217,6,Active
INV000218,1,Inactive
INV000219,3,Active
INV000220,5,Active
INV000221,5,Active
INV000222,4,Active
INV000223,5,Active
INV000224,4,Active
INV000225,4,Active
INV000226,4,Active
INV000227,3,Active
INV000228,9,Active
INV000229,5,Active
INV000230,5,Active
INV000231,5,Active
INV000232,1,Inactive
INV000233,1,Inactive
INV000234,5,Active
INV000235,4,Active
INV000236,8,Active
INV000237,1,Inactive
INV000238,6,Active
INV000239,8,Active
INV000240,1,Inactive
INV000241,3,Active
INV000242,3,Active
INV000243,6,Active
INV000244,4,Active
INV000245,6,Active
INV000246,4,Active
INV000248,1,Inactive
INV000249,7,Active
INV000251,2,Inactive
INV000252,6,Active
INV000253,1,Inactive
INV000254,2,Inactive
INV000255,6,Active
INV000256,6,Active
INV000257,5,Active
INV000258,1,Inactive
INV000259,6,Active
INV000260,8,Active
INV000261,4,Active
INV000262,8,Active
INV000263,8,Active
INV000264,1,Inactive
INV000265,10,Active
INV000266,4,Active
INV000267,5,Active
INV000268,7,Active
INV000269,2,Inactive
INV000270,2,Inactive
INV000271,2,Inactive
INV000272,4,Active
INV000273,1,Inactive
INV000274,5,Active
INV000275,2,Inactive
INV000276,4,Active
INV000277,1,Inactive
INV000278,2,Inactive
INV000279,9,Active
INV000280,9,Active
INV000281,1,Inactive
INV000282,2,Inactive
INV000283,6,Active
INV000284,4,Active
INV000285,2,Inactive
INV000286,5,Active
INV000287,7,Active
INV000288,5,Active
INV000289,8,Active
INV000290,1,Inactive
INV000291,6,Active
INV000292,7,Active
INV000293,7,Active
INV000294,5,Active
INV000295,2,Inactive
INV000296,2,Inactive
INV000297,6,Active
INV000298,5,Active
INV000299,6,Active
INV000300,3,Active
INV000301,5,Active
INV000302,1,Inactive
INV000303,3,Active
INV000304,7,Active
INV000305,4,Active
INV000306,3,Active
INV000307,2,Inactive
INV000308,5,Active
INV000309,8,Active
INV000310,7,Active
INV000311,3,Active
INV000312,5,Active
INV000313,2,Inactive
INV000314,4,Active
INV000315,4,Active
INV000316,5,Active
INV000317,4,Active
INV000318,6,Active
INV000319,7,Active
INV000320,5,Active
INV000321,7,Active
INV000322,3,Active
INV000323,3,Active
INV000325,2,Inactive
INV000326,3,Active
INV000327,2,Inactive
INV000328,9,Active
INV000329,4,Active
INV000330,4,Active
INV000331,8,Active
INV000332,4,Active
INV000333,4,Active
INV000334,7,Active
INV000335,6,Active
INV000336,2,Inactive
INV000337,5,Active
INV000338,1,Inactive
INV000339,6,Active
INV000340,5,Active
INV000341,8,Active
INV000342,1,Inactive
INV000343,2,Inactive
INV000344,5,Active
INV000345,1,Inactive
INV000346,1,Inactive
INV000347,1,Inactive
INV000348,2,Inactive
INV000349,4,Active
INV000350,2,Inactive
INV000351,5,Active
INV000352,5,Active
INV000353,1,Inactive
INV000354,3,Active
INV000355,1,Inactive
INV000356,6,Active
INV000357,3,Active
INV000358,1,Inactive
INV000359,9,Active
INV000360,5,Active
INV000361,3,Active
INV000363,7,Active
INV000364,3,Active
INV000366,4,Active
INV000367,4,Active
INV000368,1,Inactive
INV000369,6,Active
INV000370,5,Active
INV000371,8,Active
INV000372,7,Active
INV000373,2,Inactive
INV000374,4,Active
INV000376,1,Inactive
INV000377,5,Active
INV000378,3,Active
INV000379,3,Active
INV000380,6,Active
INV000381,1,Inactive
INV000382,1,Inactive
INV000383,5,Active
INV000384,5,Active
INV000385,4,Active
INV000386,1,Inactive
INV000387,3,Active
INV000388,9,Active
INV000389,3,Active
INV000390,3,Active
INV000391,1,Inactive
INV000392,7,Active
INV000393,2,Inactive
INV000394,5,Active
INV000395,7,Active
INV000396,6,Active
INV000397,4,Active
INV000399,10,Active
INV000400,6,Active
INV000401,4,Active
INV000402,4,Active
INV000403,6,Active
INV000404,1,Inactive
INV000405,2,Inactive
INV000406,1,Inactive
INV000407,6,Active
INV000408,6,Active
INV000409,2,Inactive
INV000410,5,Active
INV000411,4,Active
INV000412,8,Active
INV000413,5,Active
INV000414,8,Active
INV000415,7,Active
INV000416,2,Inactive
INV000417,4,Active
INV000418,6,Active
INV000419,3,Active
INV000420,1,Inactive
INV000421,4,Active
INV000422,1,Inactive
INV000423,3,Active
INV000424,1,Inactive
INV000425,3,Active
INV000426,2,Inactive
INV000427,7,Active
INV000428,8,Active
INV000429,6,Active
INV000430,4,Active
INV000431,5,Active
INV000432,3,Active
INV000433,5,Active
INV000434,1,Inactive
INV000435,1,Inactive
INV000436,5,Active
INV000437,6,Active
INV000438,2,Inactive
INV000439,5,Active
INV000440,8,Active
INV000441,6,Active
INV000442,3,Active
INV000443,2,Inactive
INV000444,6,Active
INV000445,9,Active
INV000446,6,Active
INV000449,6,Active
INV000450,1,Inactive
INV000452,9,Active
INV000453,4,Active
INV000454,3,Active
INV000455,2,Inactive
INV000456,5,Active
INV000457,6,Active
INV000458,5,Active
INV000459,4,Active
INV000460,6,Active
INV000461,3,Active
INV000462,2,Inactive
INV000463,7,Active
INV000465,4,Active
INV000466,7,Active
INV000467,10,Active
INV000468,1,Inactive
INV000469,7,Active
INV000470,2,Inactive
INV000471,3,Active
INV000472,1,Inactive
INV000473,4,Active
INV000474,5,Active
INV000475,2,Inactive
INV000476,3,Active
INV000477,1,Inactive
INV000478,2,Inactive
INV000479,2,Inactive
INV000480,5,Active
INV000481,4,Active
INV000482,3,Active
INV000483,8,Active
INV000484,1,Inactive
INV000485,4,Active
INV000487,5,Active
INV000488,4,Active
INV000489,4,Active
INV000490,2,Inactive
INV000491,6,Active
INV000492,4,Active
