amfi_code,cagr_pct,scheme_name_x,cagr_rank,sharpe_ratio,alpha,max_drawdown,expense_ratio_pct,sharpe_rank,alpha_rank,expense_rank,dd_rank,fund_score,scheme_name_y
120505,32.801599480386166,ICICI Pru Midcap Fund - Regular - Growth,1.0,1.1801011976606492,0.2926358334175106,-0.18188513572116294,1.36,5.0,3.0,15.0,25.0,6.9,ICICI Pru Midcap Fund - Regular - Growth
148567,30.949920362874206,Mirae Asset Large Cap Fund - Regular - Growth,5.0,1.4482911703262598,0.2698375144191807,-0.11265729075028275,1.46,1.0,7.0,23.0,8.0,7.3999999999999995,Mirae Asset Large Cap Fund - Regular - Growth
120843,30.883325525154603,Kotak Flexicap Fund - Regular - Growth,6.0,1.3067439695428409,0.27330465038306057,-0.1297396816518679,1.45,2.0,5.0,22.0,13.0,7.8999999999999995,Kotak Flexicap Fund - Regular - Growth
100033,30.099703552874523,HDFC Mid-Cap Opportunities Fund - Regular - Growth,7.0,1.093698743534631,0.2719535450128533,-0.16217208574644848,1.38,7.0,6.0,17.0,20.0,9.600000000000001,HDFC Mid-Cap Opportunities Fund - Regular - Growth
148569,31.924485848158724,Mirae Asset Tax Saver Fund - Regular - Growth,4.0,1.2349300257743294,0.2827036785246582,-0.1639674294693263,1.6,3.0,4.0,36.5,21.0,10.325,Mirae Asset Tax Saver Fund - Regular - Growth
119598,32.398083984645545,SBI Small Cap Fund - Regular Plan - Growth,2.0,0.9453082575156095,0.3033696538698332,-0.2870600572176455,1.43,14.0,1.0,21.0,36.0,11.049999999999999,SBI Small Cap Fund - Regular Plan - Growth
120504,23.277447532730513,ICICI Pru Bluechip Fund - Direct - Growth,13.0,1.0265242847993001,0.2119482701352573,-0.12588275606922517,0.8,10.0,13.0,12.0,12.0,12.0,ICICI Pru Bluechip Fund - Direct - Growth
119552,21.50802178549933,SBI Bluechip Fund - Direct Plan - Growth,15.0,0.9532794968660104,0.1986859936686296,-0.11803493502764295,0.66,12.0,15.0,4.0,11.0,12.2,SBI Bluechip Fund - Direct Plan - Growth
149324,32.262107528416564,DSP Small Cap Fund - Regular - Growth,3.0,0.9497958246616031,0.3005787817097677,-0.31171900300634214,1.52,13.0,2.0,26.5,37.0,12.225000000000001,DSP Small Cap Fund - Regular - Growth
119551,25.784920849464086,SBI Bluechip Fund - Regular Plan - Growth,10.0,1.2082665673727175,0.23201007160635082,-0.1501238549864533,1.54,4.0,10.0,30.5,17.0,12.274999999999999,SBI Bluechip Fund - Regular Plan - Growth
